Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,OBV
2023-12-19,196.16000366210935,196.9499969482422,195.88999938964844,196.94000244140625,196.1955108642578,40714100,0.0,0.0,,,,,,,,,,,40714100
2023-12-20,196.8999938964844,197.67999267578125,194.8300018310547,194.8300018310547,194.09349060058597,52242800,0.0,0.0,,,,,,,,,,,-11528700
2023-12-21,196.1000061035156,197.0800018310547,193.5,194.67999267578125,193.94403076171875,46482500,0.0,0.0,,,,,,,,,,,-58011200
2023-12-22,195.17999267578125,195.41000366210935,192.97000122070312,193.6000061035156,192.8681488037109,37122800,0.0,0.0,,,,,,,,,,,-95134000
2023-12-26,193.6100006103516,193.88999938964844,192.8300018310547,193.0500030517578,192.32020568847656,28919300,0.0,0.0,,,,,,,,,,,-124053300
2023-12-27,192.4900054931641,193.5,191.08999633789065,193.1499938964844,192.4198303222656,48087700,0.0,0.0,,,,,,,,,,,-75965600
2023-12-28,194.13999938964844,194.66000366210935,193.1699981689453,193.5800018310547,192.84820556640625,34049900,0.0,0.0,,,,,,,,,,,-41915700
2023-12-29,193.8999938964844,194.3999938964844,191.72999572753903,192.52999877929688,191.8021697998047,42628800,0.0,0.0,,,,,,,,,,,-84544500
2024-01-02,187.1499938964844,188.44000244140625,183.88999938964844,185.63999938964844,184.93821716308597,82488700,0.0,0.0,,,,,,,,,,,-167033200
2024-01-03,184.22000122070312,185.8800048828125,183.42999267578125,184.25,183.553466796875,58414500,0.0,0.0,,,,,,,,,,,-225447700
2024-01-04,182.1499938964844,183.08999633789065,180.8800048828125,181.91000366210935,181.2223358154297,71983600,0.0,0.0,,,,,,,,,,,-297431300
2024-01-05,181.9900054931641,182.75999450683597,180.1699981689453,181.17999267578125,180.4950714111328,62303300,0.0,0.0,,,,,,,,,,,-359734600
2024-01-08,182.08999633789065,185.6000061035156,181.5,185.55999755859372,184.8585205078125,59144500,0.0,0.0,,,,,,,,,,,-300590100
2024-01-09,183.9199981689453,185.1499938964844,182.72999572753903,185.13999938964844,184.4401092529297,42841800,0.0,0.0,,,,28.256801189931622,,,,,,,-343431900
2024-01-10,184.3500061035156,186.3999938964844,183.9199981689453,186.19000244140625,185.4861602783203,46792900,0.0,0.0,,,,33.13629627461118,,,,,,,-296639000
2024-01-11,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789065,184.88841247558597,49128400,0.0,0.0,,,,31.805104088435883,,,,,,,-345767400
2024-01-12,186.05999755859372,186.7400054931641,185.19000244140625,185.9199981689453,185.2171630859375,40444700,0.0,0.0,,,,33.39007431683224,,,,,,,-305322700
2024-01-16,182.16000366210935,184.25999450683597,180.92999267578125,183.6300048828125,182.93582153320312,65603000,0.0,0.0,,,,28.448831326100034,,,,,,,-370925700
2024-01-17,181.2700042724609,182.92999267578125,180.3000030517578,182.67999267578125,181.98941040039065,47317400,0.0,0.0,,,,26.684586078531268,,,,,,,-418243100
2024-01-18,186.08999633789065,189.13999938964844,185.8300018310547,188.6300048828125,187.9169158935547,78005800,0.0,0.0,188.43399963378906,,188.02626849293307,48.30683994552047,,,,198.24259621314303,188.43399963378906,178.62540305443508,-340237300
2024-01-19,189.3300018310547,191.9499969482422,188.82000732421875,191.55999755859372,190.8358459472656,68741000,0.0,0.0,188.16499938964844,,188.3628141182341,55.29823306159912,,,,197.2975279652217,188.16499938964844,179.0324708140752,-271496300
2024-01-22,192.3000030517578,195.3300018310547,192.25999450683597,193.88999938964844,193.1570281982422,60133900,0.0,0.0,188.1179992675781,,188.88921271551163,59.93839747889092,,,,197.12160496912753,188.1179992675781,179.1143935660287,-211362400
2024-01-23,195.0200042724609,195.75,193.8300018310547,195.17999267578125,194.4421539306641,42355600,0.0,0.0,188.14299926757812,,189.48833461648968,62.2733233656958,,,,197.22181055048372,188.14299926757812,179.06418798467251,-169006800
2024-01-24,195.4199981689453,196.3800048828125,194.33999633789065,194.5,193.7647247314453,53631300,0.0,0.0,188.18799896240233,,189.9656360815859,60.27892571242725,,,,197.38273774941447,188.18799896240233,178.9932601753902,-222638100
2024-01-25,195.22000122070312,196.2700042724609,193.1100006103516,194.1699981689453,193.43597412109372,54822100,0.0,0.0,188.2439987182617,,190.36605151847726,59.28658020266183,,,,197.5692184807764,188.2439987182617,178.918778955747,-277460200
2024-01-26,194.2700042724609,194.75999450683597,191.94000244140625,192.4199981689453,191.69259643554688,44594000,0.0,0.0,188.20749893188477,,190.5616654851885,54.191672270434125,0.18945509577497432,,,197.46106209567446,188.20749893188477,178.95393576809508,-322054200
2024-01-29,192.00999450683597,192.1999969482422,189.5800018310547,191.72999572753903,191.00518798828125,47145600,0.0,0.0,188.114998626709,,190.672935032079,52.28382097365627,0.23596305608288048,,,197.18710120853513,188.114998626709,179.04289604488287,-369199800
2024-01-30,190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,187.3291473388672,55859400,0.0,0.0,187.89049835205077,,190.42217867532224,43.47003216898006,-0.02464729006820221,,,196.73380789388193,187.89049835205077,179.0471888102196,-425059200
2024-01-31,187.0399932861328,187.1000061035156,184.3500061035156,184.3999938964844,183.70291137695312,55467800,0.0,0.0,187.82849807739257,,189.8486372678139,36.867656985050125,-0.5189186260836891,,,196.75108305436657,187.82849807739257,178.90591310041856,-480527000
2024-02-01,183.9900054931641,186.9499969482422,183.82000732421875,186.8600006103516,186.15362548828125,64885400,0.0,0.0,187.95899810791016,,189.56400520519844,43.151807309041224,-0.7040147939231076,,,196.74369328817764,187.95899810791016,179.17430292764269,-415641600
2024-02-02,179.86000061035156,187.3300018310547,179.25,185.8500061035156,185.14743041992188,102518000,0.0,0.0,188.15599822998047,,189.2102910050382,41.33270995952976,-0.9215795607936741,,,196.55761330755251,188.15599822998047,179.75438315240842,-518159600
2024-02-05,188.1499938964844,189.25,185.83999633789065,187.67999267578125,186.9705047607422,69668800,0.0,0.0,188.48099822998046,,189.0645483070137,45.79169821111048,-0.9355521209725453,,,196.25769556694607,188.48099822998046,180.70430089301485,-448490800
2024-02-06,186.8600006103516,189.30999755859372,186.7700042724609,189.3000030517578,188.5843963623047,43490800,0.0,0.0,188.66799850463866,,189.08697256841788,49.454216559927566,-0.8066061239296971,,,196.33382199954445,188.66799850463866,181.00217500973287,-405000000
2024-02-07,190.63999938964844,191.0500030517578,188.6100006103516,189.41000366210935,188.6939697265625,53439000,0.0,0.0,188.88149871826172,,189.11773743448373,49.70271321511097,-0.6876129878261565,-0.5319906682014895,-0.155622319624667,196.3783833558862,188.88149871826172,181.38461408063725,-351561000
2024-02-08,189.38999938964844,189.5399932861328,187.3500061035156,188.32000732421875,187.6081085205078,40962000,0.0,0.0,188.98799896240234,,189.041763138268,47.22515626558123,-0.6734999766613612,-0.5602925298934639,-0.11320744676789729,196.38881879113032,188.98799896240234,181.58717913367437,-392523000
2024-02-09,188.6499938964844,189.9900054931641,188.0,188.8500061035156,188.37615966796875,45155200,0.24,0.0,189.1509994506836,,189.0235005635297,48.56765651793448,-0.6124884558714143,-0.570731715089054,-0.04175674078236036,196.38704682056425,189.1509994506836,181.91495208080295,-347367800
2024-02-12,188.4199981689453,188.6699981689453,186.7899932861328,187.1499938964844,186.680419921875,41781900,0.0,0.0,189.21249923706054,,188.84507135714443,44.64465276701265,-0.6933209907892319,-0.5952495702290895,-0.0980714205601424,196.3580001595521,189.21249923706054,182.066998314569,-389149700
2024-02-13,185.7700042724609,186.2100067138672,183.50999450683597,185.0399932861328,184.57571411132807,56529500,0.0,0.0,189.28299865722656,,188.48268296942905,40.294246297513254,-0.9170693675102655,-0.6596135296853247,-0.25745583782494075,196.23191334222707,189.28299865722656,182.33408397222604,-445679200
2024-02-14,185.32000732421875,185.52999877929688,182.44000244140625,184.1499938964844,183.6879425048828,54630500,0.0,0.0,189.35649871826172,,188.07004591486287,38.58625810956371,-1.1529169716082492,-0.7582742180699097,-0.39464275353833955,196.0509304521796,189.35649871826172,182.66206698434382,-500309700
2024-02-15,183.5500030517578,184.4900054931641,181.3500061035156,183.8600006103516,183.398681640625,65434500,0.0,0.0,189.11799850463868,,187.66908921919511,38.02074154934048,-1.3476925706174825,-0.8761578885794243,-0.47153468203805815,196.2260662071832,189.11799850463868,182.00993080209415,-565744200
2024-02-16,183.4199981689453,184.8500061035156,181.6699981689453,182.30999755859372,181.85255432128903,49701400,0.0,0.0,188.65549850463867,,187.15869953723308,35.0628065200485,-1.608583182851902,-1.02264294743392,-0.5859402354179819,196.25458430257007,188.65549850463867,181.05641270670728,-615445600
2024-02-20,181.7899932861328,182.42999267578125,180.0,181.55999755859372,181.1044464111328,53665600,0.0,0.0,188.03899841308595,,186.62548982498168,33.69674761666751,-1.8544822872195823,-1.1890108153910526,-0.6654714718285297,195.83739839928924,188.03899841308595,180.24059842688266,-669111200
2024-02-21,181.94000244140625,182.88999938964844,180.66000366210935,182.32000732421875,181.862548828125,41529700,0.0,0.0,187.3959991455078,,186.21544387252806,36.400811322852576,-1.9653770197402025,-1.3442840562608827,-0.6210929634793199,194.84609056208316,187.3959991455078,179.94590772893244,-627581500
2024-02-22,183.47999572753903,184.9600067138672,182.4600067138672,184.3699951171875,183.9073944091797,52292200,0.0,0.0,186.88949890136718,,186.03968684820993,43.13719967035733,-1.8663311085182386,-1.4486934667123539,-0.4176376418058847,193.68770944340164,186.88949890136718,180.0912883593327,-575289300
2024-02-23,185.00999450683597,185.0399932861328,182.22999572753903,182.5200042724609,182.06204223632807,45119700,0.0,0.0,186.30699920654297,,185.70447898385288,39.1111501233971,-1.9150399222852457,-1.5419627578269322,-0.3730771644583135,192.47755880363903,186.30699920654297,180.1364396094469,-620409000
2024-02-26,182.2400054931641,182.75999450683597,180.6499938964844,181.16000366210935,180.70545959472656,40867400,0.0,0.0,185.74399948120117,,185.2716718103535,36.42009583970677,-2.0398683587143864,-1.6415438780044231,-0.3983244807099633,191.62893723298677,185.74399948120117,179.85906172941557,-661276400
2024-02-27,181.1000061035156,183.9199981689453,179.55999755859375,182.6300048828125,182.17176818847656,54318900,0.0,0.0,185.28899993896485,,185.02008448392104,41.13469269551041,-1.9971569980405093,-1.7126665020116405,-0.2844904960288688,190.63477923371457,185.28899993896485,179.94322064421513,-606957500
2024-02-28,182.50999450683597,183.1199951171875,180.1300048828125,181.4199981689453,180.9647979736328,48953900,0.0,0.0,184.95800018310547,,184.67721912059002,38.597581212096756,-2.0374588094673243,-1.7776249635027772,-0.25983384596454706,190.4003668534713,184.95800018310547,179.51563351273964,-655911400
2024-02-29,181.2700042724609,182.57000732421875,179.52999877929688,180.75,180.2964782714844,136682600,0.0,0.0,184.77550048828124,,184.3031982519624,37.22835361646075,-2.0992625463190677,-1.8419524800660354,-0.2573100662530323,190.5170429052008,184.77550048828124,179.03395807136167,-792594000
2024-03-01,179.5500030517578,180.52999877929688,177.3800048828125,179.66000366210938,179.209228515625,73488000,0.0,0.0,184.41550064086914,187.39479949951172,183.860989243405,35.04994663024914,-2.2107123323871463,-1.9157044505302578,-0.2950078818568884,190.48275233901649,184.41550064086914,178.3482489427218,-866082000
2024-03-04,176.14999389648438,176.89999389648438,173.7899932861328,175.10000610351562,174.66065979003906,81510100,0.0,0.0,183.87800064086915,186.95799957275392,183.02660989674885,27.737579265724847,-2.6365977269165057,-2.0598831058075073,-0.5767146211089984,191.13058946688787,183.87800064086915,176.62541181485042,-947592100
